I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ","On average, how many hours do you spend online each day? (self-estimate)  ",What do you use AI for most often? (Select all that apply),"In general, how confident do you feel using AI tools?  ",AI providing health or wellbeing advice ,AI making recommendations about money or finance ,AI influencing work-related decisions ,AI interacting with children or young people ,AI generating information that might be inaccurate ,AI forming opinions about someone based on personal data ,An AI tool taking small actions independently (e.g. drafting content without asking) ,An AI tool making decisions for you when you haven’t given explicit approval ,An AI tool remembering past conversations and using them to guide new ones ,An AI tool suggesting actions you did not expect or ask for ,I feel uneasy when an AI tool responds inconsistently to the same question. ,Sudden changes in tone or behaviour from AI make me question its reliability. ,"I prefer AI tools that behave predictably, even if they are less powerful. ",AI talking in a highly emotional or personal way ,AI using personal details to tailor responses ,AI giving strong opinions about sensitive topics ,AI becoming overly confident in its answers ,I sometimes overlook potential risks because AI tools make my tasks easier.  ,The convenience of AI is worth accepting some level of uncertainty. ," An AI tool offering guidance during a stressful moment (e.g., conflict, crisis, decision pressure)  ",An AI tool proactively warning you about potential risks in your behaviour ,An AI tool predicting your future choices based on past interactions ,I expect AI systems to become safer over time. ,I am more concerned about future AI than the AI we have today., I double-check AI information with other sources.  ,I avoid certain questions or topics with AI because I’m unsure how it will respond. ,I reduce how much I use AI when it feels unpredictable or confusing. ,Is there anything else you want to share about how you feel regarding AI safety or risk? (Optional) , How much do you trust AI systems to act in your best interests?  ,How clear do you feel about what matters most in your life right now? ,"How much does modern digital life affect your ability to focus, decide, or think clearly? ",How do you feel about the growing role of AI in everyday decision-making? ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your gender?,Country of residence,What is your highest level of education? ,Which of the following best describes your current work status? ,How would you describe your general emotional wellbeing?  
Yes,Sometimes,5–6 hours,Learning or studying,5,7,5,5,6,7,6,5,5,5,5,5,5,4,2,5,2,2,3,5,1,6,4,4,6,6,6,6,I worry about people's use of AI as therapy.,2,5,5,2,"Responsibility, Human wellbeing, Non-harm",25 - 34,Woman,US,Some university/college,Student,5
Yes,Often,Less than 2 hours,Work tasks,3,3,3,5,1,5,4,3,4,4,3,5,4,4,3,5,4,5,6,6,5,4,4,5,3,4,5,4,no,3,3,3,3,"Fairness, Transparency, Accountability",25 - 34,Woman,UK,Bachelor’s degree,Employed full time,3
Yes,Sometimes,11–12 hours,"Information or research, Emotional support or conversation, Decision-making",5,5,4,5,3,6,4,3,2,6,4,6,5,4,5,5,6,5,5,5,7,6,3,6,7,3,3,4,Just that I feel it can be a great tool when you don't feel comfortable talking about certain situations in your predicament.,5,3,4,4,"Empathy, Respect, Non-harm",25 - 34,Woman,Canada,High school,Self-employed / freelance,3
Yes,Sometimes,Less than 2 hours,"Information or research, Work tasks, Learning or studying",6,6,4,2,5,6,5,7,6,7,6,4,3,2,5,6,5,4,3,5,6,5,7,7,5,5,4,3,N/A,4,5,4,4,"Honesty, Non-harm, Transparency",25 - 34,Man,US,Postgraduate degree,Employed full time,7
Yes,Rarely,More than 12 hours,Asked by teacher to use it,1,6,6,6,5,7,5,1,1,4,3,5,5,6,2,2,4,1,1,1,1,3,1,5,2,6,5,7,Concerned about risk to jobs and its use as a cover for layoffs.,2,2,5,1,"Fairness, Non-harm, Transparency",25 - 34,Man,Australia,Some university/college,Student,3
Yes,Everyday,More than 12 hours,"Information or research, Work tasks, Decision-making, Learning or studying",6,2,4,5,4,6,4,4,6,3,4,7,6,5,7,5,6,2,6,5,6,6,6,4,6,7,4,3,None. Thanks,5,2,6,4,"Honesty, Responsibility, Transparency",25 - 34,Man,Canada,Bachelor’s degree,Employed full time,5
Yes,Occasionally,2–4 hours,"Information or research, Learning or studying",3,6,4,3,7,7,7,2,1,2,2,5,4,5,3,4,3,2,4,4,3,2,3,2,6,7,3,5,No,2,5,5,3,"Responsibility, Non-harm, Transparency",35 - 44,Woman,UK,Bachelor’s degree,Employed full time,5
Yes,Occasionally,5–6 hours,Work tasks,5,6,6,4,7,7,7,5,3,7,5,4,4,4,5,5,4,4,3,4,5,5,4,3,5,5,6,5,it hallucinates too much,3,7,2,4,"Honesty, Human wellbeing, Non-harm",35 - 44,Man,US,Postgraduate degree,Employed full time,5
Yes,Often,7–8 hours,"Work tasks, Decision-making, Entertainment, Learning or studying",6,2,1,2,3,3,5,4,5,6,3,6,4,5,5,5,5,4,6,6,5,4,4,6,4,3,4,5,N/A,6,3,5,5,"Honesty, Transparency, Accountability",18 - 24,Man,Canada,Bachelor’s degree,Employed full time,3
Yes,Very often,5–6 hours,Information or research,5,5,4,5,6,6,5,2,1,5,4,2,5,4,1,2,2,3,5,3,1,3,2,2,5,6,6,6,n/a,2,6,5,2,"Responsibility, Non-harm, Transparency",18 - 24,Woman,Canada,Bachelor’s degree,Employed part-time,6
Yes,Often,7–8 hours,Information or research,6,1,1,1,2,1,1,1,1,1,1,1,1,3,7,7,7,7,1,7,7,7,7,7,2,1,1,1,no,7,7,1,7,"Responsibility, Accountability",55 - 65,Man,US,Some university/college,Employed part-time,7
Yes,Sometimes,2–4 hours,"Work tasks, Creative projects, Decision-making",7,6,5,6,5,2,5,6,3,6,7,2,5,2,6,7,6,7,6,2,6,3,6,7,2,5,3,1,n/a,7,6,5,6,"Honesty, Fairness, Transparency",25 - 34,Man,US,Bachelor’s degree,Employed full time,7
Yes,Very often,7–8 hours,"Information or research, Creative projects, Decision-making, Learning or studying",6,5,6,4,7,5,6,3,1,5,1,4,6,5,2,3,2,2,1,5,1,1,1,4,7,6,1,6,"No, Nothing Else.",4,7,5,2,"Fairness, Human wellbeing, Non-harm",18 - 24,Woman,US,Some university/college,Employed full time,5
Yes,Often,Less than 2 hours,"Information or research, Creative projects, Decision-making",7,7,3,3,7,4,6,5,3,3,5,5,3,5,3,4,3,5,3,6,4,3,4,5,4,7,5,6,It should only be a side source not a full dependency,4,5,3,5,"Fairness, Respect, Human wellbeing",25 - 34,Woman,US,High school,Employed full time,6
Yes,Often,5–6 hours,"Information or research, Emotional support or conversation, Decision-making, Entertainment, Learning or studying",7,7,3,5,7,7,1,1,1,5,1,7,7,7,4,4,5,5,7,5,7,7,4,1,7,7,1,4,nothing to add,5,7,5,1,"Honesty, Responsibility, Non-harm",25 - 34,Woman,UK,Some university/college,Employed part-time,3
